Validation URL,Category,Target,Status,Redirect URL,Target Window,Details,Timestamp
https://uat-ng.nationwide.com/personal/insurance/all-personal/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":false;""status"":""not-applicable""}",2026-07-01T23:44:41.568Z
https://uat-ng.nationwide.com/personal/insurance/property/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":false;""status"":""not-applicable""}",2026-07-01T23:45:12.392Z
https://uat-ng.nationwide.com/personal/insurance/vehicle/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":false;""status"":""not-applicable""}",2026-07-01T23:45:45.159Z
https://uat-ng.nationwide.com/,Banner Check,banner-level2-component-link-content,PASS,,,"{""present"":true;""status"":""present""}",2026-07-01T23:46:16.179Z
https://uat-ng.nationwide.com/,Local Agent,ZIP validation,PASS,,,"{""status"":""spa"";""url"":""https://agency.nationwide.com/search?type=location&q=43215"";""message"":""SPA navigation to agency page""}",2026-07-01T23:46:25.550Z
https://uat-ng.nationwide.com/,Banner Quote,Auto & home bundle,FAIL,,,"{""reason"":""No popup or navigation occurred after clicking the button"";""requiresZip"":true}",2026-07-01T23:47:11.172Z
https://uat-ng.nationwide.com/,Banner Quote,Business,PASS,https://uat-ng.nationwide.com/cp/biz-quote.html,new-window,"{""optionValue"":""Business"";""requiresZip"":false;""zipCode"":null;""outcome"":""popup"";""finalUrl"":""https://uat-ng.nationwide.com/cp/biz-quote.html"";""redirectUrl"":""https://uat-ng.nationwide.com/cp/biz-quote.html"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":false;""buttonFoundBy"":""unknown"";""dropdownType"":""banner""}",2026-07-01T23:47:48.339Z
https://uat-ng.nationwide.com/,Banner Quote,Life,PASS,https://lifeessentials.nationwide.com/,new-window,"{""optionValue"":""Life"";""requiresZip"":false;""zipCode"":null;""outcome"":""popup"";""finalUrl"":""https://lifeessentials.nationwide.com/"";""redirectUrl"":""https://lifeessentials.nationwide.com/"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":false;""buttonFoundBy"":""unknown"";""dropdownType"":""banner""}",2026-07-01T23:48:24.593Z
https://uat-ng.nationwide.com/,Banner Quote,Pet,PASS,https://qec3.petinsurance.com/quote1?OM=CI0438,new-window,"{""optionValue"":""Pet"";""requiresZip"":false;""zipCode"":null;""outcome"":""popup"";""finalUrl"":""https://qec3.petinsurance.com/quote1?OM=CI0438"";""redirectUrl"":""https://qec3.petinsurance.com/quote1?OM=CI0438"";""bannerPresent"":false;""isSeeAllInsurance"":false;""navigationSuccess"":false;""buttonFoundBy"":""unknown"";""dropdownType"":""banner""}",2026-07-01T23:49:01.129Z
https://uat-ng.nationwide.com/,Banner Quote,Auto,FAIL,,,"{""reason"":""No popup or navigation occurred after clicking the button"";""requiresZip"":true}",2026-07-01T23:49:44.682Z
